IDs         length   Exptl.  resolution  R-factor FreeRvalue
5U4QA       337      XRAY        1.500    0.18    0.21
1V7ZA       260      XRAY        1.600    0.18    0.20
5B5IA        74      XRAY        1.600    0.19    0.21
5C8ZA       284      XRAY        1.600    0.15    0.17
4IGIA       203      XRAY        1.200    0.12    0.15
5SVYA        50      XRAY        1.050    0.12    0.15
4EFPA       239      XRAY        1.330    0.18    0.23
4L9NA       145      XRAY        1.600    0.19    0.22
3OXPA       150      XRAY        1.200    0.15    0.18
5A0RA       198      XRAY        1.250    0.14    0.16
1JBEA       128      XRAY        1.080    0.10    0.15
3DMGA       381      XRAY        1.550    0.19    0.22
3SS7X       442      XRAY        1.550    0.16    0.19
3CLMA       352      XRAY        1.140    0.13    0.16
4KU0A        96      XRAY        1.150    0.14    0.17
3EO6A       106      XRAY        0.970    0.12    0.14
4JXRA       186      XRAY        1.150    0.12    0.14
4REOA       229      XRAY        1.350    0.17    0.21
2Z5WA       136      XRAY        1.350    0.17    0.19
1M55A       197      XRAY        1.400    0.18    0.20
5C6SA       130      XRAY        1.300    0.19    0.22
2GKPA       167      XRAY        1.350    0.15    0.21
5DLOA       133      XRAY        1.400    0.13    0.16
2EX2A       458      XRAY        1.550    0.21    0.24
4HKGA        88      XRAY        1.300    0.15    0.17
1AH7A       245      XRAY        1.500    0.20    0.23
5LXEA       335      XRAY        1.470    0.16    0.18
1T92A       116      XRAY        1.600    0.17    0.20
3GE3B       327      XRAY        1.520    0.17    0.19
3R9FA       188      XRAY        1.200    0.18    0.20
4AE7A       220      XRAY        1.450    0.14    0.17
3IE4A       107      XRAY        1.450    0.19    0.20
2WQKA       251      XRAY        1.500    0.16    0.19
2XJPA       258      XRAY        0.950    0.11    0.12
4WY4B        58      XRAY        1.400    0.14    0.18
2VK8A       563      XRAY        1.420    0.18    0.19
1NKDA        65      XRAY        1.090    0.10    0.13
4GB5A       159      XRAY        1.550    0.15    0.18
2VCHA       480      XRAY        1.450    0.18    0.20
4H8EA       256      XRAY        1.300    0.17    0.19
3LAXA       109      XRAY        1.430    0.18    0.23
1S0PA       176      XRAY        1.400    0.27    0.21
5HB6A       144      XRAY        1.300    0.15    0.17
4G9SA       187      XRAY        0.950    0.13    0.14
5JSYB       507      XRAY        1.040    0.11    0.13
4OQ9A       159      XRAY        1.450    0.22    0.25
2BF6A       449      XRAY        0.970    0.11    0.13
4P9LA       177      XRAY        1.440    0.15    0.18
5FEWA       358      XRAY        1.170    0.11    0.13
2E3NA       255      XRAY        1.400    0.22    0.23
3CMBA       283      XRAY        1.600    0.23    0.26
4WJTA       167      XRAY        1.210    0.11    0.14
2WNFA       298      XRAY        1.250    0.18    0.20
1HPGA       187      XRAY        1.500    0.18    1.00
3KWEA       213      XRAY        1.100    0.13    0.14
4KBXA       388      XRAY        1.600    0.17    0.20
3GIUA       215      XRAY        1.250    0.12    0.15
3N6YA       137      XRAY        1.500    0.18    0.21
4YTWA        81      XRAY        1.400    0.22    0.24
1QQFA       277      XRAY        1.450    0.16    0.22
3MXZA       116      XRAY        1.600    0.18    0.21
1L2PA        61      XRAY        1.550    0.28    0.31
3POJA       115      XRAY        1.450    0.13    0.15
5CPHA       212      XRAY        1.200    0.17    0.19
3MD7A       293      XRAY        1.270    0.11    0.13
5CQ2A        90      XRAY        1.400    0.15    0.18
3KB9A       382      XRAY        1.600    0.16    0.19
3TVTB        50      XRAY        1.600    0.22    0.24
2IZXA        41      XRAY        1.300    0.17    0.19
1IRQA        71      XRAY        1.500    0.21    0.23
4A6QA       143      XRAY        1.500    0.19    0.21
2XDWA       710      XRAY        1.350    0.16    0.19
4I6XA       131      XRAY        1.500    0.19    0.24
3LYEA       307      XRAY        1.300    0.13    0.17
1Y9LA       115      XRAY        1.500    0.22    0.25
3AWUA       281      XRAY        1.160    0.14    0.17
1GXUA        91      XRAY        1.270    0.13    0.16
4EU9A       514      XRAY        1.480    0.16    0.18
4I84A       307      XRAY        1.500    0.16    0.21
3GMGA       170      XRAY        1.500    0.18    0.21
3N0RA       286      XRAY        1.250    0.15    0.17
5D4VA       268      XRAY        1.600    0.17    0.21
4LDVA       362      XRAY        1.450    0.21    0.24
2D8DA        90      XRAY        1.150    0.21    0.22
4EQSA       437      XRAY        1.500    0.18    0.20
2BL8A       103      XRAY        1.600    0.22    0.24
2BFDA       400      XRAY        1.390    0.15    0.17
2QMLA       198      XRAY        1.550    0.18    0.21
1OAIA        59      XRAY        1.000    0.15    0.16
3ULTA       133      XRAY        1.400    0.17    0.19
3LAAA       200      XRAY        1.350    0.12    0.13
1NU0A       138      XRAY        1.600    0.19    0.23
3HWUA       147      XRAY        1.300    0.12    0.14
4I8HA       223      XRAY        0.750    0.10    0.11
3NGGA        50      XRAY        1.330    0.18    0.21
2GLZA       153      XRAY        1.450    0.17    0.20
5FBFA       267      XRAY        1.040    0.11    0.14
1RU4A       400      XRAY        1.600    0.18    0.19
1KT6A       183      XRAY        1.100    0.19    0.22
3PVHA       153      XRAY        1.600    0.20    0.23
2CKKA       127      XRAY        1.450    0.14    0.17
3FYNA       176      XRAY        1.450    0.18    0.21
4GWBA       168      XRAY        1.200    0.16    0.18
4PHJA       173      XRAY        1.600    0.17    0.20
2P5KA        64      XRAY        1.000    0.14    0.16
3LD7A       101      XRAY        1.550    0.17    0.19
3B6EA       216      XRAY        1.600    0.18    0.20
3QU3A       137      XRAY        1.300    0.17    0.20
3S44A       399      XRAY        1.450    0.19    0.21
3F1LA       252      XRAY        0.950    0.17    0.19
2IU5A       195      XRAY        1.600    0.20    0.23
4O0AA       123      XRAY        1.200    0.16    0.18
4R6HA       428      XRAY        1.500    0.17    0.20
4LUPA       106      XRAY        1.200    0.15    0.17
2NRRA       159      XRAY        1.200    0.18    0.22
4EUOA       320      XRAY        1.280    0.17    0.18
5EL9A       205      XRAY        1.100    0.12    0.13
1W4SA       174      XRAY        1.550    0.20    0.23
1UFOA       238      XRAY        1.600    0.17    0.21
5DT6A       267      XRAY        1.600    0.15    0.17
3AJ4A       112      XRAY        1.000    0.11    0.13
3L9AX        88      XRAY        1.300    0.14    0.15
3ZN4A       173      XRAY        1.260    0.16    0.18
2ENDA       138      XRAY        1.450    0.16    1.00
2W3GA       153      XRAY        1.400    0.19    0.22
3MDQA       315      XRAY        1.500    0.15    0.18
1NNFA       309      XRAY        1.100    0.16    0.18
3K67A       159      XRAY        1.250    0.15    0.17
5I34A       441      XRAY        1.530    0.14    0.19
4R5RA        68      XRAY        0.960    0.15    0.17
5B1AF        98      XRAY        1.500    0.15    0.17
5HOBA        50      XRAY        1.220    0.19    0.21
1UUYA       167      XRAY        1.450    0.16    0.18
4XQ7A       359      XRAY        1.600    0.17    0.19
4DRIB        98      XRAY        1.450    0.18    0.21
5U4HA       421      XRAY        1.050    0.16    0.18
4Q8WA       388      XRAY        1.140    0.14    0.15
2CXAA       256      XRAY        1.600    0.19    0.22
2GZ4A       207      XRAY        1.500    0.15    0.18
3A8GB       212      XRAY        1.110    0.14    0.17
5KDSA       530      XRAY        1.600    0.16    0.18
4BT7A       257      XRAY        1.100    0.17    0.18
3CECA       104      XRAY        1.600    0.17    0.20
4EICA        93      XRAY        0.840    0.11    0.13
3MQDA       428      XRAY        1.250    0.11    0.13
5B1AM        46      XRAY        1.500    0.15    0.17
5E9PA        86      XRAY        1.200    0.11    0.12
4CUAA       183      XRAY        1.540    0.16    0.19
3KUVA       139      XRAY        1.500    0.20    0.22
4V1GA        86      XRAY        1.550    0.16    0.18
1EZGA        84      XRAY        1.400    0.16    0.20
2O9UX        97      XRAY        1.150    0.20    0.17
2Q5CA       196      XRAY        1.490    0.19    0.21
1RFYA       102      XRAY        1.600    0.20    0.22
1W5QA       337      XRAY        1.400    0.15    0.17
3O7BA       244      XRAY        1.450    0.20    0.21
1NG6A       148      XRAY        1.400    0.21    0.25
3VNYA       488      XRAY        1.500    0.17    0.19
1FYEA       229      XRAY        1.200    0.16    0.19
3K6YA       237      XRAY        1.300    0.17    0.20
4PWWA        89      XRAY        1.470    0.18    0.22
5FSVA       266      XRAY        1.200    0.14    0.16
5SV5A       105      XRAY        1.000    0.13    0.15
4Q53A       110      XRAY        1.270    0.15    0.18
3K5JA       183      XRAY        1.400    0.14    0.16
4YPCA        83      XRAY        1.440    0.25    0.28
3IUWA        83      XRAY        1.580    0.19    0.22
1NKOA       132      XRAY        1.450    0.28    0.30
4ZVCA       126      XRAY        1.500    0.15    0.19
1VE4A       206      XRAY        1.200    0.23    0.25
2EHZA       302      XRAY        1.350    0.17    0.18
3LFKA       129      XRAY        1.600    0.21    0.23
3EUNA        82      XRAY        1.050    0.12    1.00
4LWUA        85      XRAY        1.140    0.22    0.23
1OCYA       198      XRAY        1.500    0.14    0.15
4PSFA       138      XRAY        1.580    0.18    0.19
2OOAA        52      XRAY        1.560    0.21    0.24
4J42A        93      XRAY        1.280    0.16    0.17
3UJCA       266      XRAY        1.190    0.15    0.17
5M0NA       428      XRAY        1.440    0.14    0.17
3D9NA       145      XRAY        1.600    0.17    0.20
4BRCA       368      XRAY        1.300    0.14    0.19
3MVCA       161      XRAY        1.400    0.16    0.20
4HY4A       115      XRAY        1.250    0.15    0.17
2YDTA       367      XRAY        1.600    0.14    0.17
2YVEA       185      XRAY        1.400    0.20    0.22
4OCVA       379      XRAY        1.470    0.19    0.20
1TBFA       347      XRAY        1.300    0.16    0.18
3VN3A       223      XRAY        0.950    0.11    0.13
1IUQA       367      XRAY        1.550    0.20    0.22
2BT9A        90      XRAY        0.940    0.10    0.12
1OQJA        97      XRAY        1.550    0.23    0.21
4P7OA       367      XRAY        1.480    0.22    0.25
5IUCA       127      XRAY        1.250    0.16    0.18
4UNUA       111      XRAY        0.950    0.11    0.13
2QNKA       286      XRAY        1.600    0.16    0.18
5FHVA       269      XRAY        1.550    0.16    0.19
3I4GA       528      XRAY        1.350    0.14    0.16
4NMWA       259      XRAY        1.500    0.14    0.18
3T7LA        90      XRAY        1.090    0.17    0.15
4A4JA        69      XRAY        1.250    0.14    0.18
5JELA       242      XRAY        1.600    0.17    0.19
5UZGA       101      XRAY        1.540    0.18    0.21
4BQNA       312      XRAY        1.380    0.12    0.15
1DD9A       338      XRAY        1.600    0.23    0.28
5IXBA       108      XRAY        1.390    0.13    0.16
4JB3A       228      XRAY        1.500    0.15    0.17
2G7OA        70      XRAY        1.400    0.20    0.22
4L2HA       477      XRAY        1.460    0.14    0.18
4WZ4A       360      XRAY        1.050    0.19    0.20
1I1WA       303      XRAY        0.890    0.09    0.11
2X5NA       192      XRAY        1.300    0.12    0.17
3BM7A       115      XRAY        1.350    0.19    0.21
2Y6XA       113      XRAY        1.600    0.19    0.24
3S5MA      1193      XRAY        1.550    0.19    0.21
4G3OA        58      XRAY        1.600    0.16    0.19
3MJFA       431      XRAY        1.470    0.14    0.17
1LC5A       364      XRAY        1.460    0.19    0.21
5HZDA       512      XRAY        1.600    0.17    0.20
4JNUA        40      XRAY        1.450    0.19    0.22
2V25A       259      XRAY        1.490    0.17    0.18
4QHWA       401      XRAY        1.350    0.11    0.13
4EQPA       143      XRAY        1.350    0.17    0.19
2OFCA       142      XRAY        1.110    0.12    0.13
2RILA        99      XRAY        1.260    0.14    0.16
2FCJA       119      XRAY        1.300    0.19    0.21
4NF1A       150      XRAY        1.400    0.18    0.20
2GOMA        61      XRAY        1.250    0.21    0.22
3PSHA       326      XRAY        1.500    0.30    0.32
3MJOA       296      XRAY        1.360    0.15    0.21
3HLZA       269      XRAY        1.500    0.17    0.20
3B4QA        94      XRAY        1.550    0.19    0.22
3PFBA       270      XRAY        1.580    0.22    0.30
5KEEA       143      XRAY        1.500    0.18    0.20
1F86A       115      XRAY        1.100    0.14    0.18
1VHNA       318      XRAY        1.590    0.19    0.23
2OV0A       105      XRAY        0.750    0.13    0.14
4YBGA       255      XRAY        1.600    0.20    0.21
5FQIA       269      XRAY        1.400    0.14    0.16
1QG8A       255      XRAY        1.500    0.16    0.21
1F1EA       154      XRAY        1.370    0.17    0.21
5BY8B        85      XRAY        1.520    0.15    0.19
2PU3A       211      XRAY        1.500    0.17    0.18
3RFEA       130      XRAY        1.250    0.20    0.22
4YFUA       580      XRAY        1.500    0.20    0.23
4PQDA       105      XRAY        1.330    0.17    0.19
3ME7A       170      XRAY        1.500    0.18    0.22
3H74A       282      XRAY        1.300    0.19    0.20
4Q4W2       271      XRAY        1.400    0.15    1.00
3TG2A       223      XRAY        1.100    0.13    0.14
3FXAA       201      XRAY        1.600    0.14    0.16
1QV9A       283      XRAY        1.540    0.20    0.23
4TR6A       380      XRAY        1.500    0.18    0.20
4X2UA       889      XRAY        1.500    0.16    0.19
3D3BA       141      XRAY        1.300    0.17    0.20
4PJ2C       122      XRAY        1.240    0.15    0.17
3OYVA       361      XRAY        1.250    0.13    0.16
5CVDA       243      XRAY        1.300    0.13    0.16
3CL6A       308      XRAY        1.580    0.21    0.23
5KFZA       435      XRAY        1.440    0.19    0.21
3BB0A       609      XRAY        1.500    0.17    0.19
1RTQA       299      XRAY        0.950    0.14    0.15
2Q2FA        89      XRAY        1.500    0.18    0.21
4Y9IA       114      XRAY        1.500    0.16    0.20
2FYFA       398      XRAY        1.500    0.14    0.17
5V01A       173      XRAY        1.300    0.13    0.16
5LNDA       132      XRAY        1.460    0.18    0.19
3L6BA       346      XRAY        1.500    0.16    0.18
4MVKA       188      XRAY        1.500    0.17    0.19
2PBDV        43      XRAY        1.500    0.16    0.19
5JOBA       143      XRAY        1.450    0.16    0.18
2OQZA       223      XRAY        1.600    0.19    0.23
5M1MA       155      XRAY        1.500    0.19    0.22
2GKEA       274      XRAY        1.350    0.14    0.17
3U65A       328      XRAY        1.400    0.18    0.20
4YWKA       206      XRAY        1.550    0.22    0.25
1RG8A       146      XRAY        1.100    0.15    0.17
2E7ZA       727      XRAY        1.260    0.16    0.20
4JP6A       122      XRAY        1.000    0.15    0.18
4S28A       576      XRAY        1.250    0.12    0.14
1V5VA       401      XRAY        1.500    0.20    0.21
1K7JA       206      XRAY        1.400    0.20    0.20
4WNDB        53      XRAY        1.500    0.16    0.18
1IDPA       172      XRAY        1.450    0.20    0.23
4PQQA       156      XRAY        1.550    0.16    0.18
4KQIA       356      XRAY        1.400    0.17    0.20
1Y8AA       332      XRAY        1.400    0.18    0.22
4NKPA       148      XRAY        1.240    0.13    0.15
3ZYPA       218      XRAY        1.500    0.19    0.22
4CNGA       255      XRAY        1.100    0.16    0.18
4RJZA       407      XRAY        1.170    0.13    0.17
5GNGA       223      XRAY        1.260    0.15    0.18
2H30A       164      XRAY        1.600    0.19    0.21
1X91A       153      XRAY        1.500    0.18    0.21
3FN5A       187      XRAY        1.500    0.15    0.19
4RLZA       316      XRAY        1.190    0.14    0.16
4YQDA       266      XRAY        1.450    0.16    0.19
2ABSA       383      XRAY        1.100    0.14    0.17
2CZLA       272      XRAY        1.550    0.18    0.21
3RRIA       135      XRAY        1.500    0.14    0.16
4OA3A       146      XRAY        1.390    0.18    0.20
4XOFA        76      XRAY        1.150    0.14    0.17
5C5ZA       137      XRAY        1.450    0.19    0.20
2WDSA       143      XRAY        1.350    0.18    0.20
3TUTA       358      XRAY        1.580    0.20    0.25
4RJWA       429      XRAY        1.520    0.15    0.17
4ZAVA       209      XRAY        1.400    0.10    0.13
4MZJA       145      XRAY        1.470    0.18    0.22
5FMUA       137      XRAY        1.590    0.18    0.21
3QP4A       182      XRAY        1.550    0.21    0.24
1EJ8A       140      XRAY        1.550    0.20    0.26
3GAEA       253      XRAY        1.600    0.18    0.21
3B0GA       591      XRAY        1.250    0.16    0.17
3ELFA       349      XRAY        1.310    0.16    0.17
3DXYA       218      XRAY        1.500    0.15    0.18
5ERQA       419      XRAY        1.550    0.16    0.19
4G54A       258      XRAY        1.550    0.18    0.20
4DMVA       556      XRAY        1.500    0.19    0.21
4UOBA       278      XRAY        1.310    0.14    0.16
2UVKA       357      XRAY        1.500    0.18    0.22
1JL1A       155      XRAY        1.300    0.22    0.26
3ACHA       203      XRAY        1.400    0.16    0.20
1Q7LB        88      XRAY        1.400    0.13    0.17
2B97A        71      XRAY        0.750    0.13    0.15
3OMYA        52      XRAY        1.300    0.15    0.17
4CD8A       320      XRAY        1.470    0.17    0.21
1GWEA       503      XRAY        0.880    0.09    0.10
2GUVA        56      XRAY        1.400    0.20    0.25
3D1KA       142      XRAY        1.250    0.17    0.20
3HX8A       129      XRAY        1.450    0.15    0.19
1W6SA       599      XRAY        1.200    0.15    0.18
4YGBB       104      XRAY        1.600    0.18    0.20
1SZ7A       200      XRAY        1.550    0.21    0.24
7A3HA       303      XRAY        0.950    0.11    0.13
4C84A       164      XRAY        1.600    0.22    0.26
4Q7OA       146      XRAY        1.450    0.15    0.19
3VN0A        51      XRAY        1.370    0.18    0.22
3GBWA       164      XRAY        1.320    0.16    0.19
2Y39A       118      XRAY        1.410    0.18    0.20
4CE8A       114      XRAY        0.900    0.13    0.14
1N13B       113      XRAY        1.400    0.20    0.21
4HFQA       203      XRAY        1.390    0.17    0.20
1F46A       140      XRAY        1.500    0.20    0.22
2VPAA       216      XRAY        1.200    0.14    0.18
1TGRA        52      XRAY        1.420    0.21    0.22
4B89A       249      XRAY        1.500    0.19    0.21
4AC1X       283      XRAY        1.300    0.18    0.20
2Y7EA       282      XRAY        1.280    0.14    0.17
5F47A       157      XRAY        1.500    0.16    0.18
1A3CA       181      XRAY        1.600    0.19    0.23
4O0CA       309      XRAY        1.500    0.15    0.20
3UR8A       323      XRAY        1.260    0.14    0.18
2XRYA       482      XRAY        1.500    0.18    0.21
3JUDA       153      XRAY        0.980    0.15    0.18
4NNOA       291      XRAY        1.170    0.15    0.16
2DXUA       235      XRAY        1.280    0.22    0.23
2BKXA       242      XRAY        1.400    0.12    0.17
1NNXA       109      XRAY        1.450    0.20    0.25
3X0FA        93      XRAY        1.470    0.20    0.24
1Z6NA       167      XRAY        1.500    0.19    0.22
5AMHA       125      XRAY        1.200    0.13    0.16
3PN3A       193      XRAY        1.300    0.16    0.17
2J5GA       263      XRAY        1.460    0.15    0.18
4N03A       405      XRAY        1.150    0.12    0.15
2XHFA       171      XRAY        1.300    0.15    0.18
2ZOUA       149      XRAY        1.450    0.20    0.22
2ZFDB       123      XRAY        1.200    0.18    0.19
4J9YB       102      XRAY        1.510    0.18    0.22
3IFEA       434      XRAY        1.550    0.15    0.17
4MAXA       123      XRAY        1.440    0.17    0.19
3HZ8A       193      XRAY        1.450    0.20    0.23
5EC6A       323      XRAY        1.600    0.17    0.20
5FYDA       263      XRAY        1.600    0.18    0.21
4YEPA       185      XRAY        1.190    0.13    0.16
3F7EA       131      XRAY        1.230    0.17    0.19
5WSIA       361      XRAY        1.490    0.15    0.17
3RPCA       264      XRAY        1.490    0.16    0.18
4RZ9A       179      XRAY        1.280    0.13    0.15
5EYRA       228      XRAY        1.570    0.19    0.20
3QM9A       146      XRAY        0.910    0.12    0.13
3D7JA       152      XRAY        1.450    0.21    0.22
4Z0YA       350      XRAY        1.600    0.16    0.19
4NUTB        57      XRAY        1.550    0.20    0.23
4H3UA       158      XRAY        1.150    0.13    0.14
1I24A       404      XRAY        1.200    0.19    0.20
4UYBA       401      XRAY        1.500    0.14    0.18
4WP9A       177      XRAY        1.380    0.23    0.26
5HZ6A       131      XRAY        1.140    0.14    0.17
3V7NA       487      XRAY        1.400    0.16    0.18
4WUIA       207      XRAY        1.090    0.13    0.14
5CYVA       146      XRAY        1.520    0.16    0.20
3FYMA       130      XRAY        1.000    0.11    0.14
4GOFA        52      XRAY        1.350    0.18    0.20
3P0BA       540      XRAY        1.350    0.17    0.19
4HCJA       177      XRAY        1.120    0.12    0.13
2AGKA       260      XRAY        1.300    0.19    0.22
4WTPA       298      XRAY        1.300    0.18    0.19
4MC3A       346      XRAY        1.500    0.14    0.19
2FSQA       243      XRAY        1.400    0.16    0.20
3VEJA        41      XRAY        1.230    0.18    0.20
3F6YA       262      XRAY        1.450    0.15    0.18
3E8OA       119      XRAY        1.400    0.13    0.16
3CCDA        85      XRAY        1.000    0.19    0.20
4JN7A       395      XRAY        1.150    0.14    0.14
2CCVA       101      XRAY        1.300    0.14    0.18
4EQAC       153      XRAY        1.600    0.17    0.21
4K82A       217      XRAY        1.600    0.19    0.24
2AYDA        76      XRAY        1.600    0.18    0.20
4HS1A        85      XRAY        0.870    0.13    0.14
5JIGA       127      XRAY        1.000    0.14    0.17
3NNBA       382      XRAY        1.600    0.14    0.17
5GZDA       148      XRAY        1.190    0.20    0.21
1Y43B       173      XRAY        1.400    0.20    0.23
3DFFA       273      XRAY        1.600    0.20    0.22
2PUJA       286      XRAY        1.570    0.18    0.20
3OOUA       108      XRAY        1.570    0.19    0.22
3P0KA       266      XRAY        1.470    0.21    0.23
4W6YA       151      XRAY        1.570    0.20    0.23
4G4KA       103      XRAY        1.520    0.18    0.21
2INWA       133      XRAY        1.500    0.23    0.25
3T2CA       407      XRAY        1.300    0.11    0.13
5E1WA       180      XRAY        1.390    0.14    0.17
3K6MA       481      XRAY        1.500    0.17    0.18
4G78A       152      XRAY        0.920    0.12    0.15
3FCNA       164      XRAY        1.450    0.16    0.18
5IN4A       364      XRAY        1.600    0.15    0.18
3RM3A       270      XRAY        1.200    0.14    0.16
4MTUA       144      XRAY        0.970    0.15    0.16
1DJ7A       117      XRAY        1.600    0.26    0.28
4D6GA       599      XRAY        1.240    0.12    0.13
3ALJA       379      XRAY        1.480    0.17    0.21
4PHRA       277      XRAY        1.340    0.15    0.19
4GA2A       150      XRAY        0.950    0.18    0.20
2W6AA        63      XRAY        1.400    0.16    0.20
2V76A       107      XRAY        1.600    0.19    0.22
3CKKA       235      XRAY        1.550    0.20    0.22
4GQ4A       489      XRAY        1.270    0.15    0.18
5LALA       158      XRAY        1.400    0.17    0.19
4U9OA       360      XRAY        1.600    0.18    0.20
4YORA       229      XRAY        1.520    0.16    0.18
3V1AA        48      XRAY        0.980    0.10    0.11
4KT3B       137      XRAY        1.440    0.15    0.17
2CCQA        99      XRAY        1.600    0.19    0.21
4TKCA       120      XRAY        1.290    0.16    0.21
3S83A       259      XRAY        1.340    0.17    0.20
4WY4D        65      XRAY        1.400    0.14    0.18
1X54A       434      XRAY        1.450    0.17    0.19
1OI0A       124      XRAY        1.500    0.21    0.24
2GZSA       278      XRAY        1.400    0.17    0.19
4G1QB       428      XRAY        1.510    0.15    0.19
3CP7A       218      XRAY        1.390    0.18    0.20
3TBNA        87      XRAY        1.150    0.11    0.12
4J5RA       146      XRAY        1.250    0.12    0.15
3IP0A       158      XRAY        0.890    0.13    0.13
3EKIA       403      XRAY        1.600    0.18    0.23
2DDRA       306      XRAY        1.400    0.21    0.23
4LPQA       207      XRAY        1.370    0.12    0.15
3OHEA       137      XRAY        1.200    0.13    0.15
1SBYA       254      XRAY        1.100    0.13    0.17
2QR6A       393      XRAY        1.500    0.17    0.19
1GKMA       509      XRAY        1.000    0.12    0.14
4BK7A       159      XRAY        1.140    0.14    0.17
4F1VA       381      XRAY        0.880    0.13    0.14
2OY9A        98      XRAY        1.600    0.21    0.22
3SO6A       137      XRAY        1.370    0.15    0.21
3PIWA       161      XRAY        1.490    0.14    0.19
3DJEA       438      XRAY        1.600    0.17    0.20
5C30A       201      XRAY        1.550    0.15    0.17
2YN0A       271      XRAY        1.500    0.16    0.18
5J3TB       242      XRAY        1.600    0.19    0.22
4CDPA       354      XRAY        1.450    0.14    0.17
5BTYA       138      XRAY        1.150    0.17    0.19
2JKUA        94      XRAY        1.500    0.15    0.17
1UWCA       261      XRAY        1.080    0.12    0.14
1VMHA       144      XRAY        1.310    0.16    0.18
2VE8A        73      XRAY        1.400    0.15    0.19
1RTTA       193      XRAY        1.280    0.21    0.23
4JMPA       269      XRAY        1.300    0.17    0.19
2CC6A        68      XRAY        1.270    0.21    0.23
2IZRA       330      XRAY        1.300    0.13    0.16
4EQBA       330      XRAY        1.500    0.16    0.19
3OBLA       132      XRAY        1.200    0.14    0.17
3LLOA       143      XRAY        1.570    0.16    0.20
4R6YA       318      XRAY        1.220    0.12    0.15
2QFAC        47      XRAY        1.400    0.19    0.20
5KF9A       328      XRAY        1.490    0.18    0.21
2ODIA       238      XRAY        1.450    0.17    0.20
3G46A       146      XRAY        0.910    0.13    0.15
3H7IA       305      XRAY        1.500    0.18    0.21
1M7GA       211      XRAY        1.430    0.18    0.20
4AF8A       367      XRAY        1.400    0.15    0.18
1GCIA       269      XRAY        0.780    0.10    0.10
4PI8A       228      XRAY        1.390    0.15    0.17
5JVIE       316      XRAY        1.120    0.10    0.12
5UGRA       333      XRAY        1.560    0.10    0.13
2F9HA       129      XRAY        1.570    0.17    0.23
5B1AJ        59      XRAY        1.500    0.15    0.17
4ZQXA       237      XRAY        1.460    0.11    0.15
5B8DA       107      XRAY        1.050    0.13    0.15
3N08A       153      XRAY        1.250    0.15    0.17
2AMLA       373      XRAY        1.500    0.14    0.17
2X9ZA       262      XRAY        1.300    0.15    0.18
1JG1A       235      XRAY        1.200    0.15    0.20
2XEVA       129      XRAY        1.570    0.20    0.23
5DWAA       278      XRAY        1.500    0.15    0.18
3Q6BA       189      XRAY        1.500    0.15    0.19
1WZDA       215      XRAY        1.350    0.18    0.20
1UI0A       205      XRAY        1.500    0.18    0.20
1M2DA       110      XRAY        1.050    0.14    0.16
1N08A       163      XRAY        1.600    0.22    0.25
4E3YA       245      XRAY        0.950    0.13    0.14
5B1AC       261      XRAY        1.500    0.15    0.17
4P40A       425      XRAY        1.200    0.14    0.16
1GP0A       143      XRAY        1.400    0.21    0.24
1VKEA       133      XRAY        1.560    0.16    0.18
1EUWA       152      XRAY        1.050    0.14    0.16
4GNRA       353      XRAY        1.000    0.13    0.15
3ITFA       145      XRAY        1.450    0.17    0.19
4RMLA       321      XRAY        1.600    0.18    0.20
5EDFA       244      XRAY        1.400    0.17    0.19
4A37A       388      XRAY        1.600    0.20    0.21
2VXNA       251      XRAY        0.820    0.09    0.10
2CE2X       166      XRAY        1.000    0.14    0.16
1H4XA       117      XRAY        1.160    0.13    0.16
5AGRA       232      XRAY        1.300    0.17    0.20
5B5ZA       282      XRAY        1.600    0.18    0.21
5WS7A       156      XRAY        1.000    0.12    0.14
4H6CA       195      XRAY        1.350    0.14    0.17
1PKHA       204      XRAY        1.420    0.19    0.20
2IBNA       250      XRAY        1.500    0.21    0.25
5I45A       218      XRAY        1.350    0.16    0.20
1NC7A       138      XRAY        1.550    0.17    0.19
5DP2A       342      XRAY        0.960    0.12    0.13
4L9PA       367      XRAY        1.450    0.13    0.15
1XBIA       120      XRAY        1.450    0.18    0.19
4L9UA        56      XRAY        1.600    0.20    0.23
1V05A        96      XRAY        1.430    0.19    0.20
5KTNA       304      XRAY        1.340    0.12    0.15
3KYJA       144      XRAY        1.400    0.17    0.21
1VD6A       224      XRAY        1.300    0.22    0.23
5COWA       247      XRAY        1.600    0.17    0.19
4D8BA       261      XRAY        1.060    0.14    0.16
3DSKA       495      XRAY        1.550    0.18    0.21
5TVOB        59      XRAY        1.480    0.16    0.20
4Y1WA       239      XRAY        1.400    0.16    0.18
4AFFA       116      XRAY        1.050    0.13    0.14
3WX7A       402      XRAY        1.350    0.17    0.20
2CI1A       275      XRAY        1.080    0.11    0.14
4BU0A       186      XRAY        1.500    0.17    0.19
1XSZA       356      XRAY        1.410    0.20    0.23
3PF6A        62      XRAY        1.600    0.14    0.17
1J0PA       108      XRAY        0.910    0.11    0.14
5ARMA       133      XRAY        1.190    0.14    0.17
5CWHA       172      XRAY        1.300    0.16    0.18
3BQPA        80      XRAY        1.300    0.18    0.23
4WPGA       289      XRAY        1.100    0.13    0.15
4XFKA       399      XRAY        1.300    0.14    0.16
5JDKA       137      XRAY        1.000    0.17    0.18
